Gender,state,sector,Age,Edu_level,workin_agri_forestry_fishing,Voters_card,BVN,Tax_invoice,Tax_cert,invest_freq,Borrowed_in_past,Paying_borrowed,Debt,Drought_damage,Pest_infestation,Avg_income,Own_agri_land,Own_agri_mech_tool,banked,saving_strand,credit_strand,insurance_strand,investments_physical_assets,investments_capital_markets,finhealth_resilience,finhealth_access,finlit_knowledge,finhealth_indicator_final
2,NASARAWA,2,23,3,1,2,1,2,2,2,1,2,1,1,1,2,3,3,2,4,4,0,1,2,0,0,1,1
1,NASARAWA,1,25,5,1,1,2,2,2,2,1,1,1,2,2,1,1,3,2,0,4,0,1,2,0,0,2,0
2,NASARAWA,1,20,2,0,2,1,2,2,3,1,1,1,2,2,1,3,3,2,3,4,0,2,2,0,0,0,1
2,NASARAWA,1,25,10,0,1,2,2,2,2,1,2,1,2,2,1,3,3,2,3,4,0,1,2,0,0,0,0
2,NASARAWA,1,25,4,1,1,2,2,2,3,1,2,1,2,2,1,3,3,2,3,4,0,2,2,1,0,2,0
2,NASARAWA,2,23,5,1,2,2,2,2,2,1,1,1,2,2,1,3,3,2,0,4,0,2,2,0,0,2,0
2,NASARAWA,1,20,5,0,2,2,2,2,3,1,1,2,2,2,2,3,3,2,3,4,0,2,2,2,0,1,1
1,NASARAWA,2,25,4,1,2,2,2,2,3,1,1,2,2,2,1,3,3,2,3,4,0,2,2,2,0,0,1
2,NASARAWA,1,24,11,0,1,1,2,2,3,2,1,2,2,2,19,3,3,2,0,4,0,2,2,0,0,0,0
1,NASARAWA,1,25,5,1,1,1,2,2,2,1,2,1,2,2,1,3,3,2,0,4,0,1,2,0,0,0,1
1,NASARAWA,1,25,3,0,2,1,2,2,2,1,2,3,2,2,19,1,3,2,3,4,0,1,2,0,0,0,0
1,NASARAWA,2,25,3,1,2,2,2,2,2,1,2,1,2,1,8,1,3,2,4,4,0,1,2,2,0,0,1
2,NASARAWA,2,25,4,0,1,1,2,2,1,2,2,1,2,2,2,2,3,2,3,3,1,1,2,2,1,0,2
2,NASARAWA,1,18,4,0,2,2,2,2,2,1,2,1,2,2,1,3,3,2,0,4,0,2,2,2,0,0,1
2,NASARAWA,1,20,11,1,1,2,2,2,3,1,2,1,2,2,1,1,3,2,0,4,0,1,2,1,0,2,1
2,NASARAWA,1,23,7,1,2,1,2,2,3,2,2,1,2,2,1,3,3,1,0,4,0,1,2,2,0,2,0
1,NASARAWA,1,25,4,0,1,2,2,2,3,1,2,1,2,2,4,3,3,1,1,4,0,2,2,0,0,0,1
1,NASARAWA,1,25,5,1,1,2,2,2,2,1,2,2,2,2,1,1,3,1,1,4,0,1,2,0,0,2,1
2,NASARAWA,1,20,5,1,1,1,2,2,2,1,1,1,2,2,1,3,3,1,4,4,0,2,2,0,0,2,1
2,NASARAWA,2,22,5,1,1,2,2,2,3,1,1,1,2,2,1,3,3,1,0,4,0,2,2,0,0,2,0
2,NASARAWA,2,24,5,1,2,1,2,2,2,1,2,2,2,2,1,2,3,1,1,4,0,1,2,0,0,0,1
1,NASARAWA,1,19,5,0,2,2,2,2,3,1,2,1,2,2,4,3,3,1,2,4,0,1,2,0,1,1,1
2,NASARAWA,1,25,6,1,1,2,2,2,2,1,2,1,2,2,2,3,3,1,0,4,0,2,2,0,0,2,1
2,NASARAWA,2,18,3,1,2,2,2,2,2,1,1,1,2,2,2,3,3,1,2,2,0,1,2,0,0,1,1
2,NASARAWA,1,25,11,1,1,2,2,2,3,1,2,1,2,2,1,3,3,1,0,4,0,2,2,0,0,1,0
1,NASARAWA,1,20,5,0,2,1,2,2,3,1,1,1,2,2,2,3,3,1,2,4,0,2,2,0,0,2,1
2,NASARAWA,1,19,11,0,1,2,2,2,1,1,1,2,2,2,1,3,3,1,0,4,0,2,2,0,0,1,1
2,NASARAWA,1,18,11,0,1,2,2,2,3,1,1,1,2,2,2,3,3,1,0,4,0,2,2,1,0,0,1
2,NASARAWA,1,19,6,0,2,1,2,2,3,1,2,1,2,2,1,3,3,1,1,4,0,2,2,2,0,2,1
1,NASARAWA,1,25,5,1,1,2,2,2,3,1,2,1,2,2,4,3,3,1,1,4,0,2,2,2,0,2,1
2,NASARAWA,1,23,5,0,1,1,2,2,3,1,2,3,2,2,1,3,3,1,0,4,0,2,2,0,0,0,0
1,NASARAWA,2,18,4,1,2,1,2,2,3,1,2,2,2,1,1,1,3,1,4,4,0,1,2,0,0,0,1
2,NASARAWA,1,23,3,0,1,1,2,2,3,1,1,1,2,2,1,3,3,1,3,4,0,2,2,0,0,0,1
2,NASARAWA,1,25,3,1,1,2,2,2,3,1,2,1,2,2,2,3,3,1,0,2,0,1,2,0,0,2,0
2,NASARAWA,1,25,5,1,1,1,2,2,2,1,2,1,2,2,2,1,3,1,3,4,0,1,2,2,0,1,1
1,NASARAWA,1,19,6,0,2,1,2,2,3,1,2,2,2,2,1,3,3,1,1,4,0,2,2,0,0,2,0
2,NASARAWA,1,24,6,0,1,2,2,2,3,1,2,1,2,2,1,3,3,1,1,4,0,2,2,0,0,2,0
1,NASARAWA,1,22,6,1,1,1,2,2,3,1,1,1,2,2,3,3,3,1,0,4,0,1,2,0,0,2,1
2,NASARAWA,1,25,7,0,1,1,2,2,1,1,2,1,2,2,1,3,3,1,1,4,0,2,2,2,1,2,2
2,NASARAWA,1,24,6,0,1,1,2,2,2,1,2,1,2,2,2,3,3,1,1,4,0,2,2,0,0,1,1
2,NASARAWA,1,25,3,0,1,2,2,2,3,1,2,1,2,2,1,3,3,1,3,4,0,1,2,0,0,0,0
1,NASARAWA,2,25,3,0,1,2,2,2,2,1,1,1,2,2,2,3,3,1,0,4,0,1,2,0,0,2,0
1,NIGER,2,20,2,1,2,1,2,2,2,1,1,2,1,1,19,1,3,2,4,4,0,1,2,1,0,0,1
1,NIGER,2,20,2,1,1,1,2,2,2,1,1,2,2,1,4,3,3,2,4,4,0,1,2,0,0,0,0
2,NIGER,1,25,3,0,1,1,2,2,2,1,1,2,2,2,1,3,3,2,0,4,0,2,2,0,1,0,0
2,NIGER,2,20,1,0,1,1,2,2,3,1,1,2,2,2,20,3,3,2,4,4,0,1,2,0,0,0,0
2,NIGER,1,20,10,0,1,2,2,2,3,1,1,2,2,2,1,1,3,2,0,4,0,1,2,0,0,2,1
1,NIGER,2,23,11,1,1,2,2,2,1,1,2,1,2,2,1,3,3,2,4,4,0,1,2,0,0,0,1
2,NIGER,2,21,2,1,1,2,2,2,2,1,1,2,2,2,20,3,3,2,4,4,0,1,2,0,1,2,2
1,NIGER,2,22,11,1,2,2,2,2,2,1,2,3,2,2,4,3,3,2,3,3,0,2,2,0,0,2,0
2,NIGER,1,22,2,1,2,2,2,2,2,1,2,1,2,2,1,2,3,2,0,3,0,1,2,0,0,1,1
1,NIGER,2,25,2,1,1,2,2,2,2,1,1,2,2,1,2,1,3,2,0,4,0,1,2,2,0,0,1
1,NIGER,2,25,11,1,1,2,2,2,2,1,1,2,2,2,1,1,3,2,4,4,0,1,2,0,0,0,1
2,NIGER,1,20,3,1,2,2,2,2,2,1,2,1,2,2,4,1,3,2,3,4,0,1,2,0,1,0,1
2,NIGER,2,20,5,0,1,2,2,2,3,2,2,2,2,2,1,3,3,2,3,3,0,2,2,1,0,0,1
2,NIGER,2,20,11,1,2,1,2,2,2,1,1,1,1,1,3,2,3,2,4,4,0,1,2,0,0,0,0
2,NIGER,2,18,11,1,2,2,2,2,2,1,1,1,1,2,19,2,3,2,4,4,0,1,2,0,0,0,0
2,NIGER,2,20,1,1,1,2,2,2,3,1,1,2,1,2,1,1,3,2,4,4,0,2,2,0,0,0,0
1,NIGER,2,25,11,1,1,1,2,2,2,1,1,2,2,2,15,1,3,2,4,4,0,1,2,0,0,0,1
2,NIGER,1,20,3,1,1,2,2,2,3,1,2,1,2,1,2,1,3,2,3,3,0,1,2,0,1,2,1
2,NIGER,1,25,11,1,2,2,2,2,1,1,1,2,1,2,1,3,3,2,4,4,0,2,2,0,0,0,1
2,NIGER,1,21,11,0,1,2,2,2,2,1,1,2,2,2,2,2,3,2,2,3,0,1,1,0,0,0,1
2,NIGER,2,21,3,1,1,2,2,2,2,1,1,1,2,2,1,2,3,2,0,4,0,1,2,0,0,0,0
2,NIGER,2,20,11,1,2,2,2,2,3,1,1,2,1,1,1,2,3,2,4,4,0,1,2,0,0,0,0
2,NIGER,1,18,4,0,2,1,2,2,2,1,1,2,1,2,1,3,3,2,3,4,0,2,2,0,0,0,1
2,NIGER,2,25,5,1,1,1,2,2,2,1,1,1,2,2,1,2,3,2,4,4,0,1,2,1,1,2,2
2,NIGER,1,20,11,1,2,1,2,2,1,1,1,2,2,2,3,3,3,2,4,3,0,1,2,0,0,0,1
1,NIGER,2,18,2,1,1,2,2,2,2,2,1,1,2,1,18,1,3,2,4,4,0,1,2,0,0,0,0
2,NIGER,2,20,11,1,1,1,2,2,3,1,1,2,2,2,1,2,3,2,0,4,0,1,2,0,0,0,1
1,NIGER,2,25,5,0,1,2,2,2,2,1,1,3,2,2,2,1,3,2,3,4,0,1,2,1,1,0,2
2,NIGER,2,24,11,0,1,1,2,2,2,1,1,2,2,2,1,2,3,2,4,4,0,1,2,0,0,0,0
1,NIGER,1,25,2,1,2,1,2,2,2,1,1,2,1,2,5,1,3,2,4,4,0,1,2,0,0,0,1
1,NIGER,2,20,3,1,1,2,2,2,2,1,1,1,1,1,19,2,3,2,4,4,0,1,2,1,0,0,1
1,NIGER,1,19,11,0,1,2,2,2,2,1,1,1,2,2,2,1,3,1,0,4,0,1,2,0,0,0,1
1,NIGER,1,22,7,0,1,1,1,2,2,1,1,2,2,2,3,3,3,1,1,3,1,1,1,0,2,2,2
2,NIGER,2,25,7,0,1,1,1,2,2,1,1,1,2,2,3,3,3,1,1,3,0,1,2,1,2,2,2
1,NIGER,1,18,8,0,1,1,2,1,2,2,2,1,2,2,2,3,3,1,1,4,0,2,1,1,0,2,2
2,NIGER,1,20,6,0,1,1,2,1,2,1,1,2,2,2,3,3,3,1,2,4,0,1,2,0,2,2,2
1,NIGER,1,25,6,0,1,2,2,2,3,1,2,2,2,2,7,3,3,1,1,4,0,1,2,1,2,2,1
2,NIGER,2,18,3,0,2,1,2,2,3,1,1,1,2,2,20,3,3,1,4,4,0,2,2,0,0,0,0
1,NIGER,2,18,3,1,2,1,2,2,3,1,1,1,2,2,1,3,3,1,4,4,0,1,2,0,0,0,1
2,NIGER,2,25,11,1,1,2,2,2,2,1,1,3,2,2,17,1,3,1,4,4,0,2,2,1,1,0,1
2,NIGER,1,20,3,1,1,2,2,2,2,1,1,2,2,2,2,2,3,1,1,2,0,1,2,1,2,2,2
1,NIGER,1,21,6,0,1,1,2,1,2,1,1,2,2,2,2,3,3,1,1,4,1,2,2,1,2,2,1
1,NIGER,1,24,5,0,1,1,2,2,3,1,1,3,2,2,1,3,3,1,0,3,0,1,2,0,0,1,0
1,NIGER,1,25,11,1,1,1,2,2,2,1,1,2,1,2,5,1,3,1,1,3,0,1,2,0,1,0,1
2,NIGER,2,20,7,1,2,1,1,2,2,1,1,2,2,2,1,2,3,1,1,1,0,1,2,1,0,2,2
2,NIGER,2,24,5,0,1,1,2,2,2,1,1,2,2,2,1,3,3,1,1,1,0,1,2,0,0,1,1
2,NIGER,2,24,6,0,1,2,2,2,2,2,2,1,2,2,3,3,3,1,1,3,0,1,2,1,2,2,2
2,NIGER,2,22,6,1,1,1,2,2,2,1,1,1,2,2,7,2,3,1,1,3,0,1,2,1,2,2,2
1,NIGER,1,25,6,0,1,1,2,2,2,1,1,2,2,2,13,3,3,1,1,4,0,2,2,1,2,1,2
1,NIGER,2,18,3,0,1,1,2,2,2,1,1,1,2,2,2,2,3,1,2,4,0,1,2,0,0,0,0
2,NIGER,1,18,5,0,1,1,2,2,1,1,1,3,2,2,1,3,3,1,3,3,0,2,2,1,0,1,1
1,NIGER,2,20,3,1,1,1,2,2,2,1,1,1,2,2,2,2,3,1,2,3,1,1,1,0,1,0,1
2,NIGER,2,23,5,1,2,2,2,2,3,1,2,2,2,2,2,3,3,1,4,4,0,2,2,1,1,0,1
2,NIGER,2,18,5,0,2,2,2,2,2,1,1,1,2,2,1,3,3,1,4,3,0,1,2,0,0,0,1
1,OGUN,1,24,5,0,1,1,2,2,3,1,2,1,2,2,3,3,3,2,3,4,0,2,2,0,0,2,0
2,OGUN,2,25,2,1,1,2,2,2,3,1,2,1,2,2,1,3,3,2,3,4,0,2,2,1,0,0,1
2,OGUN,2,25,4,0,2,1,2,2,3,2,2,2,2,2,3,3,3,2,3,4,0,2,2,1,0,0,1
2,OGUN,1,24,5,0,2,1,2,2,3,1,1,2,2,2,6,3,3,1,1,1,1,2,2,2,1,2,1
2,OGUN,1,25,5,0,1,1,2,2,3,2,2,2,2,2,3,3,3,1,1,2,0,2,2,1,0,2,1
2,OGUN,1,24,8,0,2,1,2,2,3,1,2,1,2,2,9,3,3,1,1,1,0,2,1,2,0,1,1
1,OGUN,2,24,5,0,1,1,2,2,2,1,2,2,2,2,13,3,3,1,2,4,0,2,2,2,1,2,1
2,OGUN,1,22,5,0,1,2,2,2,3,1,1,1,2,2,2,3,3,1,1,4,0,2,2,2,2,1,2
1,OGUN,1,21,6,0,1,1,2,2,3,1,2,1,2,2,18,3,3,1,2,2,0,2,2,2,0,2,1
2,OGUN,1,18,4,0,2,1,2,2,3,1,2,1,2,2,19,3,3,1,3,4,0,2,2,0,0,0,1
1,OGUN,2,25,5,0,1,2,2,2,2,1,2,1,2,2,5,3,3,1,1,4,0,2,2,0,0,1,0
2,OGUN,1,25,7,0,1,1,2,2,2,1,1,2,2,2,2,3,3,1,3,2,0,2,2,1,0,2,1
2,OGUN,2,25,3,0,1,2,2,2,3,1,2,2,2,2,5,3,3,1,1,2,0,2,2,0,0,2,0
2,OGUN,1,25,5,0,1,1,2,2,3,1,1,2,2,2,2,3,3,1,1,3,0,2,2,1,1,2,2
1,OGUN,1,20,5,0,2,1,2,2,3,1,2,3,2,2,2,3,3,1,1,4,0,2,2,0,2,2,1
2,OGUN,1,25,5,0,2,2,2,2,3,1,2,2,2,2,2,3,3,1,1,4,0,2,2,0,0,1,1
1,OGUN,1,25,5,0,2,2,2,2,3,1,2,2,2,2,2,3,3,1,1,4,0,2,2,0,0,1,1
1,OGUN,2,25,5,0,2,2,2,2,3,1,2,2,2,2,3,3,3,1,1,3,0,1,2,0,1,2,1
1,OGUN,1,25,6,0,2,1,2,2,2,1,2,4,2,2,5,3,3,1,1,4,0,1,1,2,0,2,2
2,OGUN,1,21,5,0,1,1,2,2,3,2,2,2,2,2,4,3,3,1,4,2,0,2,2,0,1,1,1
2,ONDO,1,25,2,0,1,1,2,2,3,1,2,2,2,2,1,3,3,2,3,3,0,2,2,0,0,0,0
2,ONDO,1,23,5,1,1,1,2,2,3,1,2,1,2,2,3,3,3,1,1,3,0,1,2,0,0,2,0
1,ONDO,2,22,5,1,1,1,2,2,2,2,1,2,2,2,3,2,3,1,3,3,0,1,2,2,0,1,1
2,ONDO,1,22,5,0,1,2,2,2,3,1,2,1,2,2,2,3,3,1,1,4,0,2,2,0,0,2,1
2,ONDO,1,23,6,0,2,1,2,2,3,1,2,1,2,2,3,3,3,1,1,4,0,2,2,0,0,2,1
2,ONDO,2,18,5,0,1,1,2,2,3,1,2,1,2,2,3,3,3,1,1,2,0,2,2,2,0,2,1
2,ONDO,1,23,5,0,2,2,2,2,3,1,2,2,2,2,2,3,3,1,3,4,0,2,2,0,0,0,1
1,ONDO,1,25,8,0,1,1,2,2,2,1,2,2,2,2,3,3,3,1,1,4,0,2,1,2,0,2,1
1,ONDO,2,20,5,1,1,1,2,2,3,1,1,1,2,2,18,3,3,1,1,4,0,2,2,1,0,0,1
2,OSUN,1,20,4,1,1,1,2,2,2,1,2,1,1,2,3,2,3,2,3,4,0,1,2,2,0,0,2
2,OSUN,1,20,3,0,2,2,2,2,2,1,1,2,2,2,3,3,3,2,3,3,0,2,2,2,0,0,2
2,OSUN,1,22,5,0,1,1,2,2,3,1,2,1,1,1,2,3,3,2,3,3,0,1,2,2,0,1,1
2,OSUN,1,24,4,1,1,1,2,2,2,1,2,1,2,2,3,3,3,1,1,3,0,1,2,0,0,0,1
2,OSUN,1,19,5,1,1,1,2,2,2,2,1,2,1,2,5,1,2,1,2,1,1,1,1,2,1,0,1
2,OSUN,1,18,4,1,2,1,2,2,1,1,1,4,2,1,6,3,3,1,1,2,0,1,2,0,0,2,1
2,OSUN,1,23,6,0,1,2,2,2,1,2,1,3,2,1,2,3,1,1,2,1,1,1,1,2,1,1,2
2,OSUN,1,18,5,0,1,1,2,2,3,1,1,2,2,2,4,3,3,1,1,3,0,2,2,0,0,0,0
2,OSUN,1,25,5,0,1,1,2,2,1,1,1,2,1,2,3,3,3,1,1,2,0,1,2,0,0,2,1
1,OSUN,1,25,5,0,1,1,2,2,2,1,2,1,2,2,5,3,3,1,1,3,0,1,2,0,0,2,1
2,OSUN,2,24,5,0,1,2,2,2,3,1,1,2,2,1,1,3,3,1,1,3,0,2,2,0,0,2,0
1,OSUN,1,25,5,1,1,1,2,2,3,1,1,2,2,1,2,2,3,1,3,3,1,1,2,0,0,0,0
2,OSUN,1,25,5,0,1,1,2,2,2,1,1,2,2,2,3,3,3,1,0,2,0,2,2,0,0,0,0
2,OSUN,1,21,5,0,2,2,1,1,1,2,1,3,2,2,4,3,1,1,2,1,1,1,1,0,1,1,1
2,OSUN,1,22,5,0,2,1,2,2,1,1,2,1,2,2,2,3,3,1,3,3,0,1,2,0,0,0,1
2,OSUN,1,19,5,0,1,2,2,2,1,1,1,1,2,2,2,2,1,1,2,2,0,1,1,1,1,2,2
2,OSUN,1,24,5,0,1,2,2,2,3,2,2,2,2,2,2,3,3,1,1,4,0,2,2,0,0,2,1
1,OSUN,2,24,5,1,2,1,2,1,2,1,2,1,2,2,13,3,3,1,1,4,0,1,2,2,0,2,2
2,OSUN,1,19,5,0,1,1,2,2,1,2,2,2,1,1,4,2,1,1,2,2,0,1,1,0,2,2,2
1,OSUN,1,25,3,1,1,1,2,2,1,2,2,1,1,2,6,2,3,1,1,4,0,1,2,2,0,0,2
2,OSUN,2,21,6,0,1,1,2,2,1,1,2,1,2,2,3,3,3,1,1,3,0,1,2,2,0,0,2
1,OSUN,1,19,5,0,2,1,2,2,2,1,2,1,2,2,4,3,3,1,2,4,0,1,1,0,1,2,0
1,OSUN,1,22,9,0,1,1,2,2,2,1,2,1,1,2,3,3,3,1,1,4,0,1,2,0,0,2,2
1,OSUN,1,21,3,0,1,1,2,2,2,1,2,2,2,2,2,3,3,1,1,1,0,2,2,0,0,0,1
2,OSUN,1,25,4,0,1,1,2,2,1,1,1,2,2,2,2,3,3,1,2,4,0,1,2,2,0,0,2
2,OSUN,1,21,6,0,2,2,2,2,3,2,2,1,2,2,4,3,3,1,0,3,0,2,2,2,0,2,1
1,OSUN,1,25,6,0,2,2,2,2,2,1,1,2,2,1,8,2,1,1,2,2,1,1,1,1,1,2,1
2,OSUN,1,25,4,0,1,2,2,1,2,2,2,3,2,2,8,3,3,1,3,3,0,2,2,0,0,2,0
1,OSUN,1,24,5,0,2,2,2,2,3,2,2,1,2,2,6,3,3,1,3,4,0,2,2,2,0,0,1
1,OSUN,1,25,7,1,1,2,2,2,2,1,2,1,2,2,2,2,3,1,1,2,0,2,1,2,0,2,2
2,OSUN,2,22,1,0,1,1,2,2,2,2,2,3,1,1,6,1,3,1,1,4,0,1,2,0,0,1,0
1,OSUN,1,25,5,0,1,1,2,2,2,1,1,4,2,2,3,3,1,1,2,2,0,1,1,0,1,1,0
1,OSUN,1,25,4,0,1,1,2,2,1,1,2,1,2,2,8,2,3,1,1,2,0,1,2,0,0,2,1
1,OSUN,1,25,8,0,1,1,2,2,2,1,2,2,1,1,4,3,2,1,2,1,1,1,1,2,1,1,1
2,OSUN,1,23,6,0,2,1,2,2,2,2,1,2,2,1,7,2,2,1,2,1,0,1,1,0,2,1,1
2,OYO,1,25,5,0,1,1,2,2,3,1,2,1,2,2,2,3,3,2,3,3,0,2,2,2,0,0,1
2,OYO,1,24,5,0,1,1,2,2,3,1,2,1,2,2,2,3,2,2,3,4,0,2,2,0,0,0,1
1,OYO,1,18,4,0,2,2,2,2,3,1,2,1,2,2,20,3,3,2,3,4,0,2,2,2,0,0,2
2,OYO,2,25,5,0,1,2,2,2,3,1,1,2,2,2,2,3,3,2,3,4,0,2,2,0,0,0,0
2,OYO,1,21,5,0,1,1,2,2,3,1,2,1,2,2,2,3,3,2,4,4,0,2,2,2,0,0,1
2,OYO,1,21,4,0,2,2,2,2,3,1,2,1,2,2,1,3,3,2,3,4,0,2,2,0,0,1,1
1,OYO,1,21,5,0,2,2,2,2,3,2,2,2,2,2,3,3,3,2,3,4,0,2,2,2,0,0,1
2,OYO,2,25,5,0,2,1,2,2,3,2,2,1,2,2,2,3,3,2,3,4,0,2,2,0,0,0,1
2,OYO,1,25,5,0,1,1,2,2,3,1,1,2,2,2,1,3,3,2,3,3,0,2,2,0,0,2,0
2,OYO,1,21,5,0,2,1,2,2,3,1,1,1,2,2,2,3,3,1,1,4,0,2,2,0,2,2,1
1,OYO,1,24,5,0,1,1,2,2,3,1,1,2,2,2,2,3,3,1,3,4,0,2,2,1,1,0,1
2,OYO,1,23,6,0,2,1,2,2,3,1,2,1,2,2,1,3,3,1,0,4,0,2,2,2,0,0,1
